PR_withPREMP
7153	4727
7156	4741
7177	4748
7202	4757
7228	4766
7257	4792
7275	4805
7296	4820
7322	4821
7334	4826
7352	4829
7360	4830
7363	4831
7364	4835
7393	4854
7410	4860
7417	4879
7432	4900
7453	4908
7470	4930
7485	4948
7488	4950
7502	4952
7525	4972
7548	4991
7566	4998
7593	5002
7612	5004
7613	5020
7614	5038
7642	5046
7661	5048
7665	5054
7685	5056
7691	5059
7719	5067
7733	5074
7753	5080
7771	5081
7786	5086
7800	5091
7814	5093
7834	5101
7860	5103
7887	5108
7913	5117
7914	5123
7921	5132
7933	5134
7940	5135
7962	5143
7987	5152
8008	5160
8036	5173
8058	5177
8063	5181
8064	5196
8075	5202
8080	5221
8106	5233
8135	5234
8151	5252
8163	5266
8188	5275
8217	5289
8237	5290
8256	5308
8271	5318
8289	5319
8304	5320
8320	5326
8331	5329
8356	5337
8381	5350
8385	5351
8394	5377
8406	5406
8417	5421
8446	5424
8452	5434
8461	5469
8490	5475
8499	5477
8500	5479
8517	5484
8524	5494
8529	5543
8548	5554
8574	5556
8595	5560
8597	5561
8602	5564
8606	5587
8610	5591
8618	5598
8620	5604
8636	5616
8664	5622
8690	5624
8711	5646
8734	5648
8738	5668
8756	5675
8783	5679
8788	5700
8799	5704
8822	5705
8832	5730
8849	5737
8864	5750
8886	5756
8903	5764
8925	5769
8943	5778
8951	5783
8977	5786
9006	5791
9022	5823
9044	5825
9047	5849
9074	5869
9102	5874
9108	5887
9131	5891
9132	5924
9147	5953
9158	5958
9160	5965
9173	5979
9201	5983
9219	5998
9225	6028
9233	6041
9252	6042
9267	6091
9295	6093
9308	6111
9327	6117
9337	6133
9341	6143
9346	6151
9353	6158
9377	6169
9393	6174
9421	6179
9422	6194
9424	6203
9449	6211
9457	6222
9474	6230
9488	6234
9490	6242
9494	6255
9504	6265
9530	6269
9548	6270
9559	6283
9570	6291
9573	6304
9597	6310
9618	6313
9636	6315
9649	6328
9654	6337
9683	6345
9712	6357
9734	6365
9739	6381
9740	6389
9745	6394
9772	6403
9793	6411
9798	6430
9821	6435
9828	6441
9829	6461
9830	6469
9842	6497
9870	6525
9898	6526
9905	6534
9922	6542
9934	6543
9940	6556
9941	6577
9959	6581
9964	6590
9979	6592
9980	6602
9983	6604
10000	6619
10019	6631
10044	6632
10062	6636
10086	6637
10103	6650
10106	6658
10133	6668
10153	6685
10172	6686
10194	6688
10215	6700
10227	6701
10243	6713
10266	6731
10284	6742
10292	6761
10318	6773
10327	6780
10343	6782
10360	6796
10380	6806
10401	6816
10426	6822
10453	6836
10479	6838
10484	6855
10505	6864
10511	6882
10520	6888
10546	6892
10570	6893
10579	6926
10600	6931
10601	6961
10613	6965
10632	6968
10633	6980
10659	6984
10664	6986
10668	6990
10683	6991
10692	7006
10711	7039
10732	7045
10751	7047
10755	7052
10769	7074
10775	7080
10786	7089
10796	7093
10805	7097
10813	7101
10826	7107
10842	7128
10846	7141
10875	7142
10887	7170
10895	7180
10910	7193
10913	7196
10936	7211
10944	7213
10973	7230
10994	7234
11018	7235
11021	7236
11034	7238
11059	7244
11064	7245
11083	7247
11097	7248
11126	7249
11129	7252
11130	7257
11158	7263
11180	7264
11208	7269
11214	7294
11220	7298
11228	7302
11239	7307
11251	7349
11262	7358
11285	7365
11292	7366
11312	7378
11329	7384
11336	7392
11337	7397
11345	7400
11374	7405
11395	7418
11411	7422
11430	7429
11441	7435
11451	7443
11452	7464
11469	7465
11489	7468
11503	7509
11513	7510
11530	7544
11544	7548
11557	7551
11570	7554
11571	7556
11581	7560
11590	7581
11618	7584
11641	7594
11646	7608
11667	7650
11686	7652
11713	7659
11721	7661
11722	7670
11730	7690
11758	7694
11761	7708
11767	7714
11768	7732
11797	7739
11817	7748
11835	7758
11850	7771
11876	7786
11880	7820
11890	7831
11898	7844
11907	7851
11920	7857
11925	7858
11943	7870
11970	7872
11974	7882
11977	7888
11989	7893
11992	7901
12002	7914
12007	7921
12029	7927
12035	7936
12049	7938
12054	7941
12062	7944
12082	7970
12102	7986
12128	7997
12133	8007
12152	8011
12157	8020
12165	8030
12180	8040
12204	8053
12233	8070
12240	8078
12241	8096
12267	8109
12269	8132
12286	8141
12295	8143
12311	8144
12321	8151
12326	8191
12348	8195
12364	8206
12385	8208
12408	8210
12412	8213
12420	8227
12429	8238
12438	8243
12444	8247
12450	8249
12456	8253
12479	8263
12499	8296
12516	8297
12526	8299
12540	8301
12554	8304
12555	8307
12579	8312
12594	8334
12623	8337
12650	8345
12665	8349
12680	8350
12708	8366
12735	8369
12750	8372
12775	8377
12789	8381
12813	8387
12830	8395
12832	8396
12837	8400
12849	8401
12863	8417
12884	8421
12896	8440
12918	8454
12943	8473
12946	8489
12953	8490
12980	8496
12989	8516
12999	8544
13019	8558
13046	8560
13047	8579
13076	8601
13082	8608
13096	8630
13097	8632
13101	8633
13114	8638
13124	8645
13126	8648
13145	8651
13162	8657
13178	8678
13201	8690
13204	8696
13224	8702
13225	8715
13254	8718
13256	8745
13283	8750
13292	8751
13308	8763
13312	8766
13320	8767
13347	8776
13351	8792
13363	8803
13392	8813
13418	8831
13435	8845
13444	8847
13459	8851
13475	8856
13488	8861
13500	8871
13524	8874
13526	8875
13527	8878
13540	8879
13543	8889
13558	8898
13584	8909
13611	8910
13616	8969
13627	8970
13651	8975
13676	8976
13688	8980
13701	8984
13711	8986
13739	8990
13765	9000
13767	9009
13779	9030
13785	9034
13803	9047
13807	9051
13827	9057
13851	9060
13866	9062
13880	9063
13884	9065
13908	9081
13909	9090
13919	9092
13928	9094
13938	9095
13959	9122
13960	9131
13975	9138
13985	9144
13998	9149
14011	9159
14029	9161
14055	9177
14072	9180
14079	9189
14102	9207
14128	9221
14149	9224
14155	9228
14174	9234
14197	9242
14214	9269
14236	9291
14259	9323
14286	9324
14291	9329
14292	9333
14309	9336
14311	9340
14318	9341
14333	9382
14360	9385
14370	9396
14373	9406
14389	9407
14399	9410
14405	9420
14416	9432
14429	9438
14438	9452
14466	9460
14486	9466
14503	9470
14511	9475
14527	9485
14538	9493
14557	9528
14565	9548
14566	9554
14595	9563
14608	9564
14619	9581
14621	9594
14624	9598
14635	9629
14664	9638
14692	9645
14720	9651
14735	9665
14753	9666
14777	9673
14786	9674
14815	9680
14841	9682
14869	9693
14875	9694
14878	9707
14881	9711
14886	9719
14891	9723
14903	9730
14915	9736
14923	9743
14935	9763
14945	9795
14955	9801
14976	9802
14987	9806
14990	9832
15001	9846
15023	9849
15033	9891
15055	9902
15070	9925
15080	9927
15105	9929
15126	9938
15152	9946
15175	9968
15199	9980
15213	9981
15233	9982
15238	9983
15249	9987
15269	9990
15288	9997
15293	24
15303	38
15330	50
15337	51
15342	74
15347	81
15353	82
15371	111
15394	113
15407	115
15413	124
15428	130
15433	136
15461	146
15490	175
15511	180
15524	224
15549	225
15572	239
15596	240
15607	252
15620	262
15621	269
15631	276
15656	279
15684	280
15685	281
15707	285
15715	300
15743	302
